,,,YEAR 2010,,,,,,,,,,,,,,,,,YEAR 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA,INDICATORS,UOM,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,,SUM,AVG,,,,
,   Kardex Orders,repl order,668,1022,1189,402,343,1044,995,972,875,1026,1111,1072,1260,1206,1122,438,275,0,705,1200,1035,846,898,1179,1043,1228,910,1097,1435,705,1234,1136,972,941,1285,1475,1440,1489,1643,927,1349,1470,554,820,934,1161,1080,1245,1240,1364,1596,,"52,656","1,032.47",,,,
,   Direct orders from MFGHUB to Production,repl order,360,663,636,227,300,559,745,583,602,637,581,710,712,668,789,408,292,2,410,757,501,443,675,589,607,564,546,521,736,383,706,734,734,681,838,811,870,999,790,743,853,1172,513,819,815,910,889,892,922,1216,1228,,"34,341",673.35,,,,
,     via subinventory transfer,repl order,133,245,158,42,167,191,398,317,272,209,286,294,283,227,451,231,147,2,153,255,157,175,346,169,221,143,208,170,247,100,366,347,296,259,311,281,248,272,99,138,155,260,188,220,149,122,205,227,276,405,278,,"11,499",225.47,,,,
,     via kanban card scan,repl order,227,418,478,185,133,368,347,266,330,428,295,416,429,441,338,177,145,0,257,502,344,268,329,420,386,421,338,351,489,283,340,387,438,422,527,530,622,727,691,605,698,912,325,599,666,788,684,665,646,811,950,,"22,842",447.88,,,,
,Orders placed via Material Toolbox (inhouse developed order system),repl order,212,244,255,103,99,255,236,192,214,239,241,209,296,232,259,229,133,0,149,298,202,168,179,167,184,213,213,182,253,108,227,156,185,184,193,197,202,264,198,164,239,343,120,227,215,185,152,221,231,402,263,,"10,532",206.51,,,,
WHS other activities,Number of supplier bins sent back to suppliers,bins,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,130,68,38,24,395,17,59,48,48,52,159,147,251,148,67,40,147,165,109,171,282,310,119,205,75,112,96,113,360,125,167,181,162,,"4,596",90.12,,,,
,Number of quality claims to warehouse damage,claims,0,3,1,1,0,0,0,1,4,2,12,11,0,7,0,4,12,0,0,7,5,1,1,2,1,0,2,2,0,2,1,0,0,4,6,1,1,1,2,0,0,4,6,14,6,7,2,4,2,3,14,,159,3.12,,,,
,Number of cycle counted items (based on cycle count policy),part numbers,1464,1903,3425,1745,3312,1990,3426,1923,1790,3777,2802,3481,2732,1964,2278,0,0,0,0,3437,2520,2154,2923,1766,1697,2651,3260,985,1749,1572,1585,3489,1582,783,1699,1901,2578,1081,1577,1681,1740,1544,1109,3456,394,3056,907,3270,1738,2420,1539,,"101,855","1,997.16",,,,
,Number of geographically counted items (based on warehouse internal policy),part numbers,4780,2630,3234,2450,2795,2465,2697,3278,602,2264,1492,3929,5445,0,0,0,0,1572,1513,4086,2945,3615,1412,3466,2404,1684,3089,2583,4361,4568,2325,3003,3101,3609,4862,4315,3888,3362,3322,3513,2787,4568,632,3825,2442,2461,2905,2659,2764,3398,3343,,"142,443","2,793.00",,,,
,Waste management - number of containers managed,container,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,14,10,16,10,16,6,10,8,6,9,5,13,10,6,13,10,7,8,4,6,9,2,6,5,9,8,9,4,9,8,,276,5.41,,,,
